policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.031628112851952515,0.03111137372131149,0.03214410930716743,24
random,4,0.06235365988686681,0.061360273638274516,0.06337418003628652,24
random,8,0.12405767447004716,0.1228736499324441,0.12524924663982046,24
random,12,0.18676819962759814,0.18526056714666386,0.18820998530524471,24
random,16,0.24888122640550137,0.24719865505273142,0.25036003331964213,24
training_popularity,2,0.16342485323548317,0.15806806460022926,0.168753558366249,24
training_popularity,4,0.2674396677563588,0.2587020410069575,0.27681170259602367,24
training_popularity,8,0.4115159387389819,0.3908221233636141,0.4335198147843281,24
training_popularity,12,0.5115576547880968,0.4822274576872587,0.5413416588678956,24
training_popularity,16,0.5913829505443573,0.5621348342547814,0.6237314506744345,24
previous_layer_routes,2,0.030915849686910708,0.029998416787323852,0.031736712778608005,24
previous_layer_routes,4,0.06086181399102012,0.05971194528586542,0.06187400828736524,24
previous_layer_routes,8,0.12242817133665085,0.12026825685364505,0.12439902216816941,24
previous_layer_routes,12,0.3828689629832904,0.37259393647933997,0.392972506241252,24
previous_layer_routes,16,0.513611190021038,0.4909983079259594,0.5369568492596348,24
learned,2,0.23461516574025154,0.23200653564805784,0.2369294830908378,24
learned,4,0.44753435999155045,0.4407455355549852,0.4535735111994048,24
learned,8,0.7541022797425588,0.738634753972292,0.7688948073113958,24
learned,12,0.8649430871009827,0.8518031608934205,0.8776222178712487,24
learned,16,0.912973590195179,0.9027582992489139,0.9228450927883386,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
