policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.031105774578948815,0.030684853005999078,0.031543532218784094,60
random,4,0.06229575108736753,0.061750385649502276,0.06285971475144227,60
random,8,0.12473150926331679,0.12401497133386631,0.12540570732206105,60
random,12,0.18792108669877053,0.18720350679631034,0.18864419732863702,60
random,16,0.25078529119491577,0.24986825271199145,0.2517085580217342,60
training_popularity,2,0.16092584232489268,0.15789296168833972,0.16406746746972203,60
training_popularity,4,0.261782751729091,0.25467188389971857,0.2686257553473115,60
training_popularity,8,0.4022042840719223,0.3899007911607623,0.4158038945620258,60
training_popularity,12,0.4979766259590785,0.4817344616477688,0.5150395108014345,60
training_popularity,16,0.5765008926391602,0.5600747477635741,0.5944246636455258,60
previous_layer_routes,2,0.031069059483706953,0.030554878138937057,0.0316119390175057,60
previous_layer_routes,4,0.060641974210739136,0.05974304257892072,0.06144788488435249,60
previous_layer_routes,8,0.12169700289765993,0.12016625862568617,0.12319816735883554,60
previous_layer_routes,12,0.3753686224420865,0.3680833715821306,0.38292271020511787,60
previous_layer_routes,16,0.5027666583657264,0.48964048247784375,0.5167064806943138,60
learned,2,0.238650843501091,0.2371732173487544,0.2400072862332066,60
learned,4,0.45843227157990135,0.45449917553613584,0.46196551966170474,60
learned,8,0.7814111481110255,0.7723948762069146,0.790356607735157,60
learned,12,0.8907377382119497,0.8828766304502884,0.8981634127348661,60
learned,16,0.9337728550036748,0.9277557310213645,0.9391654591262341,60
oracle,2,0.25,0.25,0.25,60
oracle,4,0.5,0.5,0.5,60
oracle,8,1.0,1.0,1.0,60
oracle,12,1.0,1.0,1.0,60
oracle,16,1.0,1.0,1.0,60
